Patient_ID,Data_Quality_Score,Patient_Status,Risk_Level,Record_Count,Source_Count,Study_Count,Issue_Count
Unknown_Study 14_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_STUDY 15_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 16_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0 (3)_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_STUDY 23_CPID_Input Files - Anonymization - Study 23 - CPID_EDC Metrics_URSV2.0_13 Nov 25_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 17_CPID_Input Files - Anonymization - CPID_EDC Metrics_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 9_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0 (1)_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 4_CPID_Input Files - Anonymization - CPID_EDC Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 1_CPID_Input Files - Anonymization - Study 1_CPID_EDC_Metrics_URSV2.0_14 NOV 2025_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 7_CPID_Input Files - Anonymization - Study 7_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 25_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 8_CPID_Input Files - Anonymization - Study 8_CPID_EDC_Metrics_URSV2.0 _13Nov2025_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 5_CPID_Input Files - Anonymization - Study 5_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Site 2190,19.9,Critical,High,6,3,1,0
Site 2055,18.9,Critical,High,30,3,1,0
Site 660,18.9,Critical,High,3,3,1,0
Site 616,18.9,Critical,High,3,3,1,0
Site 2054,18.9,Critical,High,6,3,1,0
Site 2039,18.9,Critical,High,12,3,1,0
Site 670,18.9,Critical,High,6,3,1,0
Site 681,18.9,Critical,High,3,3,1,0
Site 2102,18.9,Critical,High,3,3,1,0
Site 688,18.9,Critical,High,9,3,1,0
Site 630,18.9,Critical,High,3,3,1,0
Site 1554,18.9,Critical,High,27,3,1,0
Site 619,18.9,Critical,High,3,3,1,0
1059,18.8,Critical,High,2,2,1,0
18,18.8,Critical,High,2,2,1,0
169,18.8,Critical,High,2,2,1,0
1069,18.8,Critical,High,2,2,1,0
34,18.8,Critical,High,2,2,1,0
35,18.8,Critical,High,2,2,1,0
2,18.8,Critical,High,6,6,3,0
225,18.8,Critical,High,2,2,1,0
176,18.8,Critical,High,2,2,1,0
27,18.8,Critical,High,2,2,1,0
14,18.8,Critical,High,4,4,2,0
13,18.8,Critical,High,6,6,3,0
123,18.8,Critical,High,2,2,1,0
12,18.8,Critical,High,2,2,1,0
Site 1915,18.7,Critical,High,10,4,2,0
Site 303,18.7,Critical,High,39,4,1,0
Site 304,18.6,Critical,High,10,4,1,0
Site 732,18.6,Critical,High,16,4,1,0
ETHNIC,18.3,Critical,High,1,1,1,0
ECINJSYN,18.3,Critical,High,1,1,1,0
FAFAST,18.3,Critical,High,1,1,1,0
ECDOSFRQ,18.3,Critical,High,2,2,2,0
Unknown_Study 4_CPID_Input Files - Anonymization - CPID_EDC Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
ECEPRELI,18.3,Critical,High,1,1,1,0
ECSPID,18.3,Critical,High,9,2,2,0
EVTDLT,18.3,Critical,High,2,2,2,0
Unknown_Study 5_CPID_Input Files - Anonymization - Study 5_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
EGCLSIG,18.3,Critical,High,5,1,1,0
EGRESCD,18.3,Critical,High,2,2,2,0
DOSPCB,18.3,Critical,High,2,1,1,0
ESTRDIOL_LBVALUE,18.3,Critical,High,9,1,1,0
DRUG_STDAT,18.3,Critical,High,2,2,2,0
Unknown_Study 1_CPID_Input Files - Anonymization - Study 1_CPID_EDC_Metrics_URSV2.0_14 NOV 2025_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_Study 25_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_STUDY 24_CPID_Input Files - Anonymization - Study 24_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_STUDY 23_CPID_Input Files - Anonymization - Study 23 - CPID_EDC Metrics_URSV2.0_13 Nov 25_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_STUDY 2_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_STUDY 22_CPID_Input Files - Anonymization - CPID_EDC Metrics_URSV2.0 (2)_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_Study 10_CPID_Input Files - Anonymization - Study 10_CPID_EDC_Metrics_URSV2.0_14-Nov-2025_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
DSREASCH,18.3,Critical,High,1,1,1,0
DSREASSY,18.3,Critical,High,1,1,1,0
DRUG_DOSETXT,18.3,Critical,High,1,1,1,0
FALOC_12,18.3,Critical,High,1,1,1,0
Unknown_Study 11_CPID_Input Files - Anonymization - Study 11_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_STUDY 21_CPID_Input Files - Anonymization - CPID_EDC Metrics_URSV2.0 (1) 1_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_Study 13_CPID_Input Files - Anonymization - Study 13_CPID_EDC_Metrics_URSV2.0_14NOV2025_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_STUDY 20__CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_Study 14_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_STUDY 19_CPID_Input Files - Anonymization - Study 19_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_Study 16_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0 (3)_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_Study 17_CPID_Input Files - Anonymization - CPID_EDC Metrics_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_STUDY 15_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_Study 18_CPID_Input Files - Anonymization - Study 18_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
ECBATNUM,18.3,Critical,High,1,1,1,0
DOSPCBU,18.3,Critical,High,1,1,1,0
ECCOVREL,18.3,Critical,High,1,1,1,0
DTPADRAM,18.3,Critical,High,1,1,1,0
FARESCD_19_6,18.3,Critical,High,1,1,1,0
Unknown_Study 6 _CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
REASN7,18.3,Critical,High,2,1,1,0
RSYN,18.3,Critical,High,2,1,1,0
INFPAUS,18.3,Critical,High,3,1,1,0
INJSIR,18.3,Critical,High,4,1,1,0
RSTEST,18.3,Critical,High,1,1,1,0
ROUTEO,18.3,Critical,High,1,1,1,0
LDH_LBVALUE,18.3,Critical,High,7,2,2,0
LIPASE_LBVALUE,18.3,Critical,High,4,1,1,0
MACROBLD_LBVALUE,18.3,Critical,High,1,1,1,0
MBMETHOD,18.3,Critical,High,1,1,1,0
MBTEST,18.3,Critical,High,1,1,1,0
RNIFCWD,18.3,Critical,High,1,1,1,0
RETIP_LBVALUE,18.3,Critical,High,4,1,1,0
RBC_LBVALUE,18.3,Critical,High,1,1,1,0
SAE_TRT,18.3,Critical,High,2,2,2,0
NEUTB_LBVALUE,18.3,Critical,High,2,1,1,0
QSTIM,18.3,Critical,High,1,1,1,0
OMHTERM,18.3,Critical,High,1,1,1,0
QSRESCD_5,18.3,Critical,High,1,1,1,0
QSRESCD_36,18.3,Critical,High,1,1,1,0
QSRESCD_25,18.3,Critical,High,1,1,1,0
ZASCAT,18.3,Critical,High,2,1,1,0
PRINDSP,18.3,Critical,High,3,2,2,0
PRMADM,18.3,Critical,High,2,1,1,0
PTI_LBVALUE,18.3,Critical,High,2,1,1,0
PRONGO,18.3,Critical,High,1,1,1,0
PRRESCD,18.3,Critical,High,1,1,1,0
SAE_SER,18.3,Critical,High,1,1,1,0
HODAT,18.3,Critical,High,1,1,1,0
Unknown_Study 7_CPID_Input Files - Anonymization - Study 7_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
WBC_LBVALUE,18.3,Critical,High,8,2,2,0
FAOBJ,18.3,Critical,High,1,1,1,0
FAORRESU_2,18.3,Critical,High,1,1,1,0
Unknown_Study 8_CPID_Input Files - Anonymization - Study 8_CPID_EDC_Metrics_URSV2.0 _13Nov2025_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
Unknown_Study 9_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0 (1)_updated.xlsx - Subject Level Metrics_0,18.3,Critical,High,1,1,1,0
FARESCD_17_1,18.3,Critical,High,1,1,1,0
FARESCD_19_2,18.3,Critical,High,1,1,1,0
DOSCD,18.3,Critical,High,1,1,1,0
FARESCD_27,18.3,Critical,High,1,1,1,0
VSPOS,18.3,Critical,High,32,1,1,0
FARESC_1,18.3,Critical,High,2,1,1,0
FARESC_3,18.3,Critical,High,1,1,1,0
FARESDAT_2,18.3,Critical,High,4,4,4,0
SVSTTM,18.3,Critical,High,2,1,1,0
HIV12AB_LBVALUE,18.3,Critical,High,14,1,1,0
SUNCF,18.3,Critical,High,1,1,1,0
FASCAT,18.3,Critical,High,1,1,1,0
FASTING_1,18.3,Critical,High,1,1,1,0
FSH_LBVALUE,18.3,Critical,High,1,1,1,0
GLUCPF_LBVALUE,18.3,Critical,High,1,1,1,0
GLUCPNF_LBVALUE,18.3,Critical,High,2,1,1,0
GLUCSN_LBVALUE,18.3,Critical,High,3,2,2,0
SODIUM_LBVALUE,18.3,Critical,High,2,2,2,0
HAPTOG_LBVALUE,18.3,Critical,High,4,1,1,0
HCVRNAPC_LBVALUE,18.3,Critical,High,1,1,1,0
HDL_LBVALUE,18.3,Critical,High,1,1,1,0
HGHT,18.3,Critical,High,1,1,1,0
DOSCHGYN,18.3,Critical,High,2,1,1,0
ECOBSPYN,18.3,Critical,High,2,1,1,0
DIFOT_LBVALUE,18.3,Critical,High,2,1,1,0
AEREL_7,18.3,Critical,High,1,1,1,0
AEACN_4,18.3,Critical,High,2,1,1,0
TULOC4,18.3,Critical,High,2,1,1,0
AEACN_6,18.3,Critical,High,1,1,1,0
TST_HIGH,18.3,Critical,High,2,1,1,0
APTT_LBVALUE,18.3,Critical,High,7,2,2,0
ZORESCD,18.3,Critical,High,1,1,1,0
TRRESCD,18.3,Critical,High,4,1,1,0
Site 264,18.3,Critical,High,31,4,1,0
Site 666,18.3,Critical,High,7,4,1,0
TUNWLSID,18.3,Critical,High,4,1,1,0
ALP_LBVALUE,18.3,Critical,High,10,3,3,0
CEA_LBVALUE,18.3,Critical,High,1,1,1,0
AST_LBVALUE,18.3,Critical,High,10,4,4,0
AEREL_4,18.3,Critical,High,5,1,1,0
BILIND_LBVALUE,18.3,Critical,High,3,1,1,0
AERELS1,18.3,Critical,High,1,1,1,0
BICARB_LBVALUE,18.3,Critical,High,3,1,1,0
Site 761,18.3,Critical,High,4,4,2,0
DIFOTLE_LBVALUE,18.3,Critical,High,2,1,1,0
AEREL_2,18.3,Critical,High,3,1,1,0
TURESCD,18.3,Critical,High,4,2,2,0
UPROTCRT_LBVALUE,18.3,Critical,High,1,1,1,0
CSAGDOS,18.3,Critical,High,1,1,1,0
9,18.3,Critical,High,2,2,1,0
CTADTM,18.3,Critical,High,2,1,1,0
CVRESCD,18.3,Critical,High,1,1,1,0
CMYN_1,18.3,Critical,High,5,1,1,0
UBACT_LBVALUE,18.3,Critical,High,1,1,1,0
URATE_LBVALUE,18.3,Critical,High,1,1,1,0
TURESCD_2,18.3,Critical,High,1,1,1,0
ZOYN,18.3,Critical,High,1,1,1,0
TURESCD_1,18.3,Critical,High,1,1,1,0
URNSMP,18.3,Critical,High,1,1,1,0
AEENTIM,18.2,Critical,High,18,1,1,0
NEUTBLE_LBVALUE,18.2,Critical,High,19,3,3,0
AEREL_3,18.2,Critical,High,12,2,2,0
STT,18.2,Critical,High,9,3,3,0
ASSTIME,18.1,Critical,High,24,4,4,0
EGMETHOD,18.1,Critical,High,11,1,1,0
K_LBVALUE,18.1,Critical,High,10,3,3,0
Site 1018,18.1,Critical,High,44,7,3,0
RSRESCD_5,18.1,Critical,High,9,1,1,0
MBRESN,18.1,Critical,High,16,1,1,0
AESTTIM,18.1,Critical,High,34,1,1,0
NEUT_LBVALUE,18.1,Critical,High,14,5,5,0
FARESCD_19_5,18.1,Critical,High,9,1,1,0
MONO_LBVALUE,18.1,Critical,High,11,3,3,0
ECENDAT,18.0,Critical,High,218,7,7,0
NEUTLE_LBVALUE,18.0,Critical,High,7,2,2,0
PRLAT,18.0,Critical,High,17,1,1,0
SUSPRECU,17.9,Critical,High,18,1,1,0
ECENTIM,17.9,Critical,High,23,5,5,0
Site 668,17.9,Critical,High,8,4,1,0
HGB_LBVALUE,17.9,Critical,High,10,4,4,0
BUN_LBVALUE,17.9,Critical,High,6,3,3,0
BASO_LBVALUE,17.9,Critical,High,10,3,3,0
AEOUT,17.9,Critical,High,300,12,12,0
RSRESCD,17.9,Critical,High,53,3,3,0
EOS_LBVALUE,17.9,Critical,High,11,4,4,0
TULNKID,17.8,Critical,High,2,2,2,0
BILI_LBVALUE,17.8,Critical,High,27,3,3,0
FADAT_2,17.8,Critical,High,15,1,1,0
FARESCD_17_3,17.8,Critical,High,8,1,1,0
FARESCD_7,17.8,Critical,High,15,4,4,0
AEREL_1,17.8,Critical,High,4,2,2,0
FARESCD_21,17.8,Critical,High,8,1,1,0
BASOLE_LBVALUE,17.8,Critical,High,9,3,3,0
PLAT_LBVALUE,17.8,Critical,High,9,6,6,0
IFCDAT,17.8,Critical,High,8,2,2,0
FALOC_5,17.8,Critical,High,2,2,2,0
CMINDSP,17.8,Critical,High,20,3,3,0
TST_LOW,17.8,Critical,High,4,1,1,0
AEREL_6,17.8,Critical,High,4,1,1,0
Site 289,17.8,Critical,High,25,5,2,0
ALB_LBVALUE,17.8,Critical,High,16,6,6,0
TPTTXT,17.8,Critical,High,37,4,4,0
ECDOSU,17.8,Critical,High,2,2,2,0
SMPDLBRM,17.8,Critical,High,8,1,1,0
CMSCAT,17.8,Critical,High,8,1,1,0
LBFAST,17.8,Critical,High,4,3,3,0
Site 1290,17.8,Critical,High,4,4,1,0
TPROT_LBVALUE,17.8,Critical,High,4,1,1,0
MONOLE_LBVALUE,17.8,Critical,High,8,3,3,0
Site 272,17.8,Critical,High,24,4,1,0
PRGDAT,17.8,Critical,High,8,3,3,0
RPRESCD_1,17.8,Critical,High,8,1,1,0
ASSDATE,17.8,Critical,High,63,7,7,0
CA_LBVALUE,17.8,Critical,High,12,3,3,0
Site 265,17.8,Critical,High,27,3,1,0
SSDAT,17.7,Critical,High,10,5,5,0
ECREASCH,17.7,Critical,High,47,8,8,0
SAEID,17.7,Critical,High,40,6,6,0
ECTRT,17.7,Critical,High,21,3,3,0
PRSCAT,17.7,Critical,High,11,1,1,0
RACECAI,17.7,Critical,High,5,3,3,0
MHONGO,17.7,Critical,High,56,7,7,0
Site 220,17.7,Critical,High,7,4,1,0
ECDOSPCB,17.7,Critical,High,35,6,6,0
RETI_LBVALUE,17.7,Critical,High,29,2,2,0
FARESCD_5,17.7,Critical,High,11,3,3,0
ECVMEVT,17.7,Critical,High,5,3,3,0
EGFR_LBVALUE,17.7,Critical,High,7,3,3,0
PHOS_LBVALUE,17.6,Critical,High,6,3,3,0
AERELNST,17.6,Critical,High,3,1,1,0
Site 1691,17.6,Critical,High,37,4,1,0
QSRESCD,17.6,Critical,High,6,4,4,0
ZADSTXT,17.6,Critical,High,3,1,1,0
Site 2064,17.6,Critical,High,28,3,1,0
FARESN_7,17.6,Critical,High,3,1,1,0
FARSFLT,17.6,Critical,High,3,2,2,0
LBDAT,17.6,Critical,High,125,12,12,0
INJSYR,17.6,Critical,High,3,2,2,0
LLTDTRT1,17.6,Critical,High,3,1,1,0
FARSFLT_3,17.6,Critical,High,3,1,1,0
INR_LBVALUE,17.6,Critical,High,3,2,2,0
IFCND,17.6,Critical,High,6,4,4,0
SMPTAK,17.6,Critical,High,49,12,12,0
LYM_LBVALUE,17.6,Critical,High,30,6,6,0
LYMLE_LBVALUE,17.6,Critical,High,9,3,3,0
RDACTMS,17.6,Critical,High,3,1,1,0
FARESDAT_1,17.6,Critical,High,3,3,3,0
ECSTDAT,17.6,Critical,High,169,12,12,0
ALT_LBVALUE,17.6,Critical,High,6,4,4,0
ECTYCHG,17.6,Critical,High,38,6,6,0
TST_RSLTADD,17.6,Critical,High,3,3,3,0
TRTARM,17.6,Critical,High,3,1,1,0
FARESCD_18,17.6,Critical,High,11,2,2,0
MBDAT,17.5,Critical,High,10,1,1,0
TUYN,17.5,Critical,High,11,6,6,0
ECREASDC,17.5,Critical,High,45,2,2,0
FARESCD_14,17.5,Critical,High,5,2,2,0
BILDIR_LBVALUE,17.5,Critical,High,12,4,4,0
ECLAT,17.5,Critical,High,5,2,2,0
CMENDT,17.5,Critical,High,5,3,3,0
Site 636,17.5,Critical,High,6,4,2,0
GGT_LBVALUE,17.5,Critical,High,8,3,3,0
CESTDAT,17.5,Critical,High,4,1,1,0
CMCAT,17.5,Critical,High,12,3,3,0
AEACN,17.5,Critical,High,301,10,10,0
ECDOSE,17.5,Critical,High,80,10,10,0
ECSTTIM,17.5,Critical,High,23,5,5,0
VSTIM,17.5,Critical,High,19,3,3,0
TST_NAME,17.5,Critical,High,24,5,5,0
RACECAS,17.5,Critical,High,4,1,1,0
GNDRV,17.5,Critical,High,21,7,7,0
MG_LBVALUE,17.5,Critical,High,32,3,3,0
PSTADMR,17.5,Critical,High,8,3,3,0
RPRESCD,17.5,Critical,High,26,1,1,0
TUMINV,17.4,Critical,High,7,1,1,0
AESHOSP,17.4,Critical,High,39,5,5,0
SEX,17.4,Critical,High,22,2,2,0
SVSTDT,17.4,Critical,High,1067,19,18,0
AEACN_2,17.4,Critical,High,17,3,3,0
PCDAT,17.4,Critical,High,123,8,8,0
ECLOC2,17.4,Critical,High,14,1,1,0
AMYLASE_LBVALUE,17.4,Critical,High,7,2,2,0
AEENDPYN,17.4,Critical,High,33,1,1,0
CMDOSTXT,17.4,Critical,High,38,3,3,0
EGDAT,17.4,Critical,High,23,6,6,0
DVCRRAT,17.3,Critical,High,4,1,1,0
Site 738,17.3,Critical,High,5,4,1,0
Site 718,17.3,Critical,High,5,4,1,0
EOSLE_LBVALUE,17.3,Critical,High,16,3,3,0
NONDRUG,17.3,Critical,High,4,2,2,0
CEOCCUR,17.3,Critical,High,1,1,1,0
CMENDAT_AUTO04,17.3,Critical,High,2,2,2,0
RSRESCD_1,17.3,Critical,High,2,2,2,0
INV_RTNL2,17.3,Critical,High,1,1,1,0
INV_RTNL8,17.3,Critical,High,1,1,1,0
Site 710,17.3,Critical,High,10,4,1,0
PRTAMDVN,17.3,Critical,High,54,4,4,0
LIPASET_LBVALUE,17.3,Critical,High,2,1,1,0
CESCAT,17.3,Critical,High,1,1,1,0
TRREASCD,17.3,Critical,High,6,2,2,0
ZLRESCD,17.3,Critical,High,2,1,1,0
RESTKND,17.3,Critical,High,7,5,5,0
MIRESCD,17.3,Critical,High,26,1,1,0
SAE_OTMED2,17.3,Critical,High,2,2,2,0
FAORRESU_4,17.3,Critical,High,4,1,1,0
WT,17.3,Critical,High,2,2,2,0
TUTNUM,17.3,Critical,High,1,1,1,0
FARESCD_21_2,17.3,Critical,High,3,2,2,0
DDRESC_2,17.3,Critical,High,6,1,1,0
Site 656,17.3,Critical,High,5,4,1,0
AGE,17.3,Critical,High,15,6,6,0
FARESDAT_4,17.3,Critical,High,2,1,1,0
Site 647,17.3,Critical,High,5,4,1,0
UCRYSTLC_LBVALUE,17.3,Critical,High,2,1,1,0
PRMETHOD,17.3,Critical,High,23,9,8,0
FARESCD_19,17.3,Critical,High,2,2,2,0
VSDAT,17.3,Critical,High,28,10,10,0
TULOCDTL,17.3,Critical,High,7,3,3,0
QSDAT,17.3,Critical,High,6,3,3,0
FUPAGRE,17.3,Critical,High,1,1,1,0
Site 1921,17.3,Critical,High,23,5,2,0
Site 348,17.3,Critical,High,19,5,2,0
OPYN,17.3,Critical,High,3,1,1,0
FARESCD_13,17.3,Critical,High,2,1,1,0
HOOCCUR,17.3,Critical,High,1,1,1,0
AESEV,17.3,Critical,High,17,3,3,0
PREADTIM,17.3,Critical,High,6,4,4,0
AEACN_3,17.3,Critical,High,2,2,2,0
FAORRESU_1,17.3,Critical,High,25,1,1,0
VERESOC1,17.3,Critical,High,1,1,1,0
MHYN,17.2,Critical,High,33,12,12,0
FARESCD_6,17.2,Critical,High,21,4,4,0
UREA_LBVALUE,17.2,Critical,High,7,2,2,0
FARESCD_8,17.2,Critical,High,41,5,5,0
PROCCUR,17.2,Critical,High,33,2,2,0
Site 601,17.2,Critical,High,25,3,1,0
FARESCD_3,17.2,Critical,High,15,6,6,0
FARESN_1,17.2,Critical,High,7,1,1,0
FARESN_6,17.2,Critical,High,45,2,1,0
ECLOC,17.2,Critical,High,21,3,3,0
AEREL,17.2,Critical,High,47,6,6,0
PREADMR,17.2,Critical,High,7,3,3,0
TRTINTNT,17.1,Critical,High,4,4,4,0
TRRESN,17.1,Critical,High,8,4,3,0
DDRESCD_4,17.1,Critical,High,18,1,1,0
DSSCAT,17.1,Critical,High,22,10,10,0
CRNUM,17.1,Critical,High,21,9,8,0
RDACTDAT,17.1,Critical,High,18,2,2,0
CREAT_LBVALUE,17.1,Critical,High,24,3,3,0
CMDSTXT,17.1,Critical,High,71,7,7,0
PRSTTIM,17.1,Critical,High,12,4,4,0
FARESCD_12,17.1,Critical,High,13,2,2,0
FATIM,17.1,Critical,High,5,2,2,0
AETERM,17.1,Critical,High,306,17,17,0
FARESCD_17,17.1,Critical,High,8,1,1,0
AESER,17.1,Critical,High,27,5,5,0
VSRESN,17.1,Critical,High,261,18,16,0
FADAT,17.1,Critical,High,28,3,3,0
IMGUSED,17.1,Critical,High,16,6,4,0
FARESCD_9,17.1,Critical,High,16,4,4,0
FARESCD_2,17.1,Critical,High,30,7,7,0
MBTIM,17.1,Critical,High,5,1,1,0
CMDOSU,17.1,Critical,High,29,7,7,0
SSRESCD,17.1,Critical,High,15,4,4,0
MHENDAT,17.1,Critical,High,5,3,3,0
MHOCCUR,17.1,Critical,High,5,2,2,0
FARESCD_1,17.1,Critical,High,57,8,8,0
AEACNS2,17.0,Critical,High,3,2,2,0
FARESCD_15,17.0,Critical,High,3,1,1,0
AESPID,17.0,Critical,High,3,2,2,0
AECONTRT,17.0,Critical,High,437,16,16,0
VETERM,17.0,Critical,High,46,6,6,0
AETOXGR,17.0,Critical,High,31,7,7,0
ZJBMTP,17.0,Critical,High,3,2,2,0
PSTADTIM,17.0,Critical,High,3,2,2,0
FARESCD_4,17.0,Critical,High,9,4,4,0
FARESN,17.0,Critical,High,17,2,2,0
DSSTDAT,17.0,Critical,High,406,21,20,0
AEACN_1,17.0,Critical,High,3,2,2,0
HBVDNA_LBVALUE,17.0,Critical,High,3,2,2,0
REASND,17.0,Critical,High,27,1,1,0
RESTHY,17.0,Critical,High,3,2,2,0
CACALC_LBVALUE,17.0,Critical,High,3,1,1,0
EGRESN,17.0,Critical,High,102,13,10,0
FALOC_7,17.0,Critical,High,3,2,2,0
IEYN,17.0,Critical,High,29,9,9,0
SAETERM,17.0,Critical,High,6,3,3,0
HOREAS,17.0,Critical,High,3,1,1,0
CMRSDISC,17.0,Critical,High,22,5,4,0
FAORRESU,17.0,Critical,High,3,1,1,0
QSRESN,17.0,Critical,High,6,2,1,0
VEOCCUR,17.0,Critical,High,209,12,12,0
Site 324,17.0,Critical,High,41,4,2,0
PCTIM,17.0,Critical,High,29,7,7,0
VSORRESU,17.0,Critical,High,26,6,6,0
Site 651,16.9,Critical,High,12,4,1,0
RDACTTIM,16.9,Critical,High,18,2,2,0
SENTVND,16.9,Critical,High,34,3,3,0
FARSFLT_1,16.9,Critical,High,7,1,1,0
CMROUTE,16.9,Critical,High,11,5,5,0
